STATE,State_Population_Total,Registered_Voters_Total,%Registered_Total,Total_Voters,Total_Voters%,Male_Population_Total,Male_Registered_Voters_Total,Male_Registered_Voters%,Male_Total_Voted,Male_%Voted,Female_Population_Total,Female_Registered_Voters_Total,Female_Registered_Voters%,Female_Total_Voted,Female_%Voted,White_non-Hispanic_Population_Total,White_non-Hispanic_Registered_Voters_Total,White_non-Hispanic_Registered_Voters %,White_non-Hispanic_Total_Voted,White_non-Hispanic_%Voted,Black_Population_Total,Black_Registered _Voters_Total,Black_Registered_Voters%,Black_Total_Voted,Black_%Voted,Asian_Population_Total,Asian_Registered_Voters_Total,Asian_Registered_Voters%,Asian_Total_Voted,Asian_%Voted,Hispanic_Population_Total,Hispanic_Registered_Voters_Total,Hispanic_Registered_Voters%,Hispanic_Total_Voted,Hispanic_%Voted,18-24_Population_Total,18-24_Registered_Voters_Total,18-24_Registered_Voters%,18-24_Total_Voted,18-24_%Voted,25-34_Population_Total,25-34_Registered_Voters_Total,25-34_Registered_Voters%,25-34_Total_Voted,25-34_%Voted,35-44_Population_Total,35-44_Registered_Voters_Total,35-44_Registered_Voters%,35-44_Total_Voted,35-44_%Voted,45-64_Population_Total,45-64_Registered_Voters_Total,45-64_Registered_Voters%,45-64_Total_Voted,45-64_%Voted,65+_Population_Total,65+_Registered_Voters_Total,65+_Registered_Voters%,65+_Total_Voted,65+_%Voted
UNITED STATES,249748,153066,61.3,122281,49,120573,71726,59.5,56964,47.2,129176,81340,63,65317,50.6,157610,110054,69.8,89075,56.5,31623,19023,60.2,15194,48,15659,5898,37.7,4519,28.9,41049,15558,37.9,11695,28.5,28993,13241,45.7,8726,30.1,44769,23342,52.1,16545,37,40784,23383,57.3,18041,44.2,83277,55032,66.1,45829,55,51925,38068,73.3,33139,63.8
ALABAMA,3753,2490,66.4,1830,48.8,1772,1122,63.3,821,46.3,1982,1368,69,1010,50.9,2494,1760,70.6,1298,52.1,976,657,67.2,483,49.4,61,13,0,7,0,169,26,15.6,22,13.2,458,221,48.2,130,28.3,660,425,64.4,262,39.8,556,341,61.3,239,43,1340,933,69.7,736,54.9,740,571,77.1,463,62.6
ALASKA,523,337,64.4,263,50.2,265,175,65.9,133,50.2,258,162,62.9,130,50.2,314,229,73,187,59.5,16,9,0.00001,8,0.00001,55,23,0.00001,15,0.00001,20,10,0,8,0,76,36,48.3,27,35.5,104,57,55.1,39,37.5,76,52,68.1,39,51.4,173,121,69.8,98,56.8,94,70,74.7,59,63
ARIZONA,5361,3262,60.8,2800,52.2,2606,1539,59,1288,49.4,2755,1723,62.5,1512,54.9,3128,2272,72.6,2000,63.9,257,114,44.4,104,40.6,198,63,32,59,30,1624,757,46.6,588,36.2,652,302,46.3,217,33.3,876,360,41.1,287,32.8,873,541,62,407,46.6,1834,1229,67,1090,59.4,1126,830,73.7,799,71
ARKANSAS,2261,1262,55.8,919,40.6,1093,602,55.1,431,39.4,1169,660,56.5,488,41.8,1678,995,59.3,737,43.9,327,178,54.5,132,40.3,37,9,0,6,0,172,43,25.2,21,12.3,281,119,42.4,61,21.9,433,204,47.2,122,28,302,154,50.9,100,33.2,737,433,58.8,341,46.2,508,352,69.3,295,58
CALIFORNIA,30243,15690,51.9,13240,43.8,14767,7372,49.9,6205,42,15476,8318,53.8,7035,45.5,11986,8005,66.8,7116,59.4,1912,1061,55.5,933,48.8,5222,2061,39.5,1620,31,10595,4211,39.7,3300,31.1,3385,1407,41.6,1096,32.4,5861,2706,46.2,2045,34.9,5487,2444,44.5,2058,37.5,9975,5554,55.7,4792,48,5535,3580,64.7,3248,58.7
COLORADO,4353,2645,60.8,2342,53.8,2171,1315,60.6,1144,52.7,2182,1330,61,1198,54.9,3136,2141,68.3,1945,62,185,73,39.6,51,27.8,156,75,47.7,66,42.3,806,323,40.1,259,32.1,437,228,52.2,166,38,859,433,50.4,367,42.7,841,509,60.5,432,51.3,1389,876,63.1,797,57.4,827,598,72.3,580,70.1
CONNECTICUT,2834,1726,60.9,1370,48.3,1365,804,58.9,662,48.5,1469,921,62.7,708,48.2,1934,1347,69.7,1090,56.4,319,158,49.6,124,39,142,51,36.1,38,26.5,464,164,35.3,120,25.9,235,112,47.8,77,32.7,551,261,47.4,177,32.1,446,251,56.3,196,43.9,1020,642,63,539,52.8,583,459,78.8,382,65.5
DELAWARE,756,472,62.4,369,48.8,359,215,59.8,167,46.4,397,258,64.8,202,50.9,477,316,66.3,247,51.7,163,109,66.5,90,54.8,41,15,0,11,0,73,27,0,20,0,76,32,42.3,23,29.8,133,68,50.9,42,31.7,110,69,62.2,47,42.7,269,183,67.8,154,57.3,168,121,72.3,103,61.2
DISTRICT OF COLUMBIA,567,397,70,313,55.2,264,179,68.1,141,53.3,304,218,71.7,172,56.7,235,191,81.3,155,65.9,251,163,65.2,123,48.9,30,16,0,13,0,53,24,0,20,0,61,38,0,29,0,173,117,67.6,93,53.6,105,76,72.1,61,57.9,133,91,68.8,69,52.3,95,75,79.1,60,63.7
